sample_id,topic_name,topic_text
T015_S0041,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Smart Home/Away from ecobee, do Activate shortcut using Wink: Shortcuts. Ecobee Smart Away: Trigger Wink Shortcut. When Ecobee goes into smart away mode it triggers a Wink shortcut."
T015_S0042,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day of the week at from Date & Time, do Activate shortcut using Wink: Shortcuts. Time-triggered Wink shortcut. Use this to trigger a Wink Shortcut at a certain time on certain days."
T015_S0043,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day at from Date & Time, do Activate shortcut using Wink: Shortcuts. Turn on all lights. Turns on all lights"
T015_S0044,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day at from Date & Time, do Activate shortcut using Wink: Shortcuts. Activate Wink shortcut at a given time. Activates a Wink shortcut at a given time Useful for controlling a device/devices for which scheduling currently is not provided by Wink (e.g., lock all locks at midnight and optionally also turn on/off other lights or devices as defined in the shortcut)."
T015_S0045,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Motion detected from D-Link Motion Sensor, do Prioritize Device using Google Wifi. If new motion event on D-Link sensor, then prioritize a device connected to OnHub. Prioritize a device connected to OnHub."
T015_S0046,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Ignition turned off from Automatic Classic, do Activate shortcut using Wink: Shortcuts. When I get home, turn on my lights. Turns your lights on when you get home :D"
T015_S0047,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Set to away mode using Netatmo Thermostat. When a device disconnects from OnHub set Netatmo thermostat to away mode. Control Netatmo thermostat temperature with OnHub."
T015_S0048,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Turn on lights using Philips Hue. Turn your Philips Hue lights on when a device connects to OnHub. Turn on your lights when a device that you specify connects to your OnHub network."
T015_S0049,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Turn off lights using Philips Hue. When a device disconnects from OnHub turn off Philips Hue lights. Control Philips Hue lights with OnHub."
T015_S0050,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Switch on using SmartThings. OnHub to control SmartThings presence. You first need to create a virtual presence device in SmartThings that has switch capabilities"
T015_S0051,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Activate shortcut using Wink: Shortcuts. If a device disconnects from OnHub, activate a Wink shortcut. Control Wink shortcuts with OnHub."
T015_S0052,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Ignition turned off in area from Automatic Classic, do Prioritize Device using Google Wifi. Give yourself priority when you park your car. When you arrive home and turn off your car's ignition, OnHub will automatically prioritize your device."
T015_S0053,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Button press from Wink Relay, do Display message on Tesla dashboard using EVE For Tesla. Push button, remind spouse!. Send someone a message to their Tesla, with a simple tap!"
T015_S0054,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Prioritize Device using Google Wifi. When my phone disconnects prioritize my nest cam.. When my phone disconnects prioritize my nest cam."
T015_S0055,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Prioritize Device using Google Wifi. Prioritize a device when it connects to your OnHub network. Have OnHub prioritize a device when it connects to your network."
T015_S0056,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do End activity using Harmony. When a device disconnects from OnHub end Harmony activity. Control Harmony activities with OnHub."
T015_S0057,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Motion detected from Arlo, do Activate shortcut using Wink: Shortcuts. Arlo turns on lights. Have Arlo motion detection turn on your lights while you are away from the house."
